[2025-12-16T00:39:27,202][INFO ][o.e.c.s.MasterService    ] [node-1] elected-as-master ([1] nodes joined in term 1)[_FINISH_ELECTION_, {node-1}{Udyp8HfyRju7keE3PC5_Ig}{MewQcHS5S2-wqx8mv-QqrQ}{node-1}{192.168.100.127}{192.168.100.127:9300}{cdfhilmrstw}{9.2.2}{8000099-9039002} completing election], term: 1, version: 1, delta: master node changed {previous [], current [{node-1}{Udyp8HfyRju7keE3PC5_Ig}{MewQcHS5S2-wqx8mv-QqrQ}{node-1}{192.168.100.127}{192.168.100.127:9300}{cdfhilmrstw}{9.2.2}{8000099-9039002}]}
[2025-12-16T00:39:27,229][INFO ][o.e.c.c.CoordinationState] [node-1] cluster UUID set to [Oo9TWChjRcSb3HbxhwNlgQ]
[2025-12-16T00:39:27,251][INFO ][o.e.c.s.ClusterApplierService] [node-1] master node changed {previous [], current [{node-1}{Udyp8HfyRju7keE3PC5_Ig}{MewQcHS5S2-wqx8mv-QqrQ}{node-1}{192.168.100.127}{192.168.100.127:9300}{cdfhilmrstw}{9.2.2}{8000099-9039002}]}, term: 1, version: 1, reason: Publication{term=1, version=1}
[2025-12-16T00:39:27,275][INFO ][o.e.c.c.NodeJoinExecutor ] [node-1] node-join: [{node-1}{Udyp8HfyRju7keE3PC5_Ig}{MewQcHS5S2-wqx8mv-QqrQ}{node-1}{192.168.100.127}{192.168.100.127:9300}{cdfhilmrstw}{9.2.2}{8000099-9039002}] with reason [completing election]
[2025-12-16T00:39:27,281][INFO ][o.e.h.AbstractHttpServerTransport] [node-1] publish_address {192.168.100.127:9200}, bound_addresses {[::]:9200}
[2025-12-16T00:39:27,287][INFO ][o.e.n.Node               ] [node-1] started {node-1}{Udyp8HfyRju7keE3PC5_Ig}{MewQcHS5S2-wqx8mv-QqrQ}{node-1}{192.168.100.127}{192.168.100.127:9300}{cdfhilmrstw}{9.2.2}{8000099-9039002}{ml.machine_memory=103079215104, ml.allocated_processors=14, ml.allocated_processors_double=14.0, ml.max_jvm_size=33285996544, ml.config_version=12.0.0, xpack.installed=true, transform.config_version=10.0.0}
[2025-12-16T00:39:27,324][INFO ][o.e.x.m.MlIndexRollover  ] [node-1] ML legacy indices rolled over
[2025-12-16T00:39:27,325][INFO ][o.e.x.m.MlAnomaliesIndexUpdate] [node-1] legacy ml anomalies indices rolled over and aliases updated
[2025-12-16T00:39:27,333][INFO ][o.e.c.f.AbstractFileWatchingService] [node-1] starting file watcher ...
[2025-12-16T00:39:27,338][INFO ][o.e.c.f.AbstractFileWatchingService] [node-1] file settings service up and running [tid=115]
[2025-12-16T00:39:27,338][INFO ][o.e.r.s.FileSettingsService] [node-1] setting file [/Users/horiastanescu/LoginAttempt/elasticsearch/elasticsearch-9.2.2/config/operator/settings.json] not found, initializing [file_settings] as empty
